,Bigram,Frequency
585,"('less', '10')",18
586,"('oh', 'oh')",18
587,"('medic', 'im')",18
588,"('georgetown', 'drive')",18
589,"('think', 'need')",18
590,"('alright', 'alright')",18
591,"('shes', 'okay')",18
592,"('unless', 'shes')",18
593,"('call', 'okay')",18
594,"('get', 'information')",18
595,"('hes', 'hes')",18
596,"('route', 'guys')",18
597,"('worse', 'something')",18
598,"('yes', 'yeah')",18
599,"('dont', 'feel')",18
600,"('yeah', 'oh')",18
601,"('weeks', 'ago')",18
602,"('coffee', 'shortness')",18
603,"('door', 'need')",18
604,"('thank', 'yeah')",18
605,"('ok', 'well')",18
606,"('talk', 'okay')",18
607,"('theyre', 'coming')",18
608,"('okay', 'hold')",18
609,"('shes', 'injured')",18
610,"('yes', 'sir')",18
611,"('okay', 'verify')",18
612,"('speak', 'full')",18
613,"('years', 'ago')",18
614,"('okay', 'kind')",18
615,"('going', 'well')",18
616,"('emergency', 'uh')",17
617,"('yeah', 'know')",17
618,"('shes', 'responding')",17
619,"('well', 'medic')",17
620,"('told', 'call')",17
621,"('partner', 'go')",17
622,"('okay', 'address')",17
623,"('breathing', 'yeah')",17
624,"('last', 'week')",17
625,"('go', 'front')",17
626,"('doesnt', 'feel')",17
627,"('questions', 'ask')",17
628,"('whats', 'first')",17
629,"('right', 'alright')",17
630,"('worse', 'way')",17
631,"('back', 'theyre')",17
632,"('road', 'name')",17
633,"('anything', 'okay')",17
634,"('keep', 'phone')",17
635,"('back', 'right')",17
636,"('phone', 'okay')",17
637,"('trying', 'leave')",17
638,"('okay', 'apartment')",17
639,"('think', 'thats')",17
640,"('right', 'front')",17
641,"('awake', 'alert')",17
642,"('said', 'dont')",17
643,"('number', 'phone')",17
644,"('need', 'ambulance')",17
645,"('hes', 'able')",17
646,"('get', 'want')",17
647,"('two', 'three')",17
648,"('theyre', 'en')",17
649,"('getting', 'medics')",17
650,"('okay', 'theres')",17
651,"('recent', 'travel')",17
652,"('get', 'bed')",17
653,"('problems', 'right')",17
654,"('shes', 'sitting')",17
655,"('said', 'youre')",17
656,"('yeah', 'well')",17
657,"('came', 'back')",17
658,"('time', 'okay')",17
659,"('every', 'time')",16
660,"('five', 'minutes')",16
661,"('really', 'dont')",16
662,"('week', 'ago')",16
663,"('okay', 'bleeding')",16
664,"('okay', 'going')",16
665,"('prior', 'fall')",16
666,"('street', 'okay')",16
667,"('symptoms', 'okay')",16
668,"('yeah', 'yes')",16
669,"('going', 'keep')",16
670,"('sure', 'youre')",16
671,"('want', 'stay')",16
672,"('comfortable', 'possible')",16
673,"('much', 'thank')",16
674,"('pain', 'okay')",16
675,"('okay', 'still')",16
676,"('ok', 'alright')",16
677,"('quarantined', 'doctor')",16
678,"('currently', 'conscious')",16
679,"('get', 'im')",16
680,"('door', 'open')",16
681,"('old', 'okay')",16
682,"('north', 'union')",16
683,"('old', 'im')",16
684,"('like', 'im')",16
685,"('right', 'side')",16
686,"('second', 'okay')",16
687,"('watch', 'phone')",16
688,"('ok', 'know')",16
689,"('right', 'said')",16
690,"('okay', 'perfect')",16
691,"('well', 'theyre')",16
692,"('hes', 'responding')",16
693,"('happened', 'okay')",16
694,"('due', 'covid')",16
695,"('alright', 'like')",16
696,"('shes', 'laying')",16
697,"('consciousness', 'fell')",16
698,"('beep', '911')",16
699,"('shes', 'fine')",16
700,"('yes', 'thank')",16
701,"('come', 'come')",16
702,"('street', 'delaware')",16
703,"('call', 'squad')",16
704,"('coming', 'okay')",16
705,"('sure', 'shes')",16
706,"('fell', 'okay')",16
707,"('medics', 'im')",16
708,"('help', 'started')",16
709,"('quarantine', 'okay')",16
710,"('nausea', 'vomiting')",15
711,"('theyre', 'already')",15
712,"('didnt', 'want')",15
713,"('okay', 'mean')",15
714,"('bye', 'thank')",15
715,"('hes', 'trying')",15
716,"('half', 'hour')",15
717,"('welcome', 'byebye')",15
718,"('commands', 'yes')",15
719,"('know', 'caused')",15
720,"('um', 'dont')",15
721,"('shes', 'complaining')",15
722,"('yes', 'right')",15
723,"('ok', 'hes')",15
724,"('thats', 'going')",15
725,"('kind', 'vehicle')",15
726,"('rest', 'position')",15
727,"('okay', 'anyone')",15
728,"('cant', 'stand')",15
729,"('doesnt', 'seem')",15
730,"('dispatched', 'guys')",15
731,"('breath', 'hes')",15
732,"('back', 'bedroom')",15
733,"('subs', 'wwwzeorangercouk')",15
734,"('hes', 'okay')",15
735,"('seem', 'like')",15
736,"('um', 'yeah')",15
737,"('sorry', 'okay')",15
738,"('got', 'home')",15
739,"('weak', 'cant')",15
740,"('breathing', 'shes')",15
741,"('three', 'days')",15
742,"('thats', 'im')",15
743,"('thats', 'good')",15
744,"('go', 'back')",15
745,"('chelsea', 'street')",15
746,"('rock', 'creek')",15
747,"('yes', 'whats')",15
748,"('minutes', 'okay')",15
749,"('yes', 'thats')",15
750,"('hes', 'breathing')",15
751,"('medics', 'come')",15
752,"('know', 'doesnt')",15
753,"('high', 'blood')",15
754,"('breathing', 'due')",15
755,"('im', 'nurse')",15
756,"('right', 'theyre')",15
757,"('changes', 'go')",15
758,"('left', 'side')",15
759,"('know', 'right')",15
760,"('like', 'like')",15
761,"('go', 'bathroom')",15
762,"('okay', 'much')",15
763,"('well', 'help')",15
764,"('feeling', 'well')",15
765,"('yeah', 'said')",15
766,"('already', 'got')",15
767,"('feels', 'like')",15
768,"('shes', 'trouble')",15
769,"('getting', 'help')",15
770,"('lift', 'assist')",15
771,"('need', 'lift')",15
772,"('medics', 'en')",15
773,"('across', 'street')",14
774,"('oh', 'yes')",14
775,"('ill', 'get')",14
776,"('shes', 'really')",14
777,"('hour', 'ago')",14
778,"('well', 'shes')",14
779,"('number', 'okay')",14
780,"('god', 'oh')",14
781,"('right', 'like')",14
782,"('know', 'mean')",14
783,"('year', 'old')",14
784,"('park', 'avenue')",14
785,"('changes', 'okay')",14
786,"('left', 'arm')",14
787,"('shes', 'short')",14
788,"('well', 'yeah')",14
789,"('anybody', 'residence')",14
790,"('four', 'five')",14
791,"('number', '614')",14
792,"('cant', 'walk')",14
793,"('bit', 'okay')",14
794,"('cant', 'really')",14
795,"('oh', 'im')",14
796,"('apartment', 'b')",14
797,"('well', 'way')",14
798,"('move', 'okay')",14
799,"('alright', 'thanks')",14
800,"('car', 'okay')",14
801,"('deep', 'breath')",14
802,"('put', 'phone')",14
803,"('need', 'ask')",14
804,"('eating', 'drinking')",14
805,"('get', 'dont')",14
806,"('right', 'outside')",14
807,"('even', 'get')",14
808,"('na', 'go')",14
809,"('theyll', 'shortly')",14
810,"('lewis', 'center')",14
811,"('please', 'okay')",14
812,"('god', 'okay')",14
813,"('know', 'phone')",14
814,"('ill', 'call')",14
815,"('open', 'door')",14
816,"('hospitalized', 'recently')",14
817,"('first', 'time')",14
818,"('couple', 'minutes')",14
819,"('get', 'away')",14
820,"('going', 'husband')",14
821,"('yeah', 'mean')",14
822,"('bed', 'okay')",14
823,"('could', 'get')",14
824,"('need', 'someone')",14
825,"('daily', 'medications')",14
826,"('yeah', 'need')",14
827,"('uh', 'huh')",14
828,"('right', 'covid')",14
829,"('going', 'need')",14
830,"('road', 'delaware')",14
831,"('right', 'way')",14
832,"('whole', 'lot')",14
833,"('partners', 'already')",14
834,"('yep', 'okay')",14
835,"('really', 'good')",14
836,"('dispatch', 'medics')",14
837,"('road', 'lot')",14
838,"('tried', 'get')",14
839,"('shes', 'feeling')",14
840,"('awake', 'conscious')",14
841,"('going', 'call')",13
842,"('correct', 'correct')",13
843,"('thanks', 'bye')",13
844,"('well', 'thank')",13
845,"('floor', 'okay')",13
846,"('partner', 'start')",13
847,"('door', 'yeah')",13
848,"('okay', 'nurse')",13
849,"('um', 'im')",13
850,"('shes', 'diabetic')",13
851,"('symptoms', 'like')",13
852,"('breathing', 'breathing')",13
853,"('conscious', 'yeah')",13
854,"('ok', 'dont')",13
855,"('didnt', 'get')",13
856,"('im', 'still')",13
857,"('stand', 'line')",13
858,"('ordered', 'quarantine')",13
859,"('bunch', 'shit')",13
860,"('take', 'deep')",13
861,"('okay', 'guys')",13
862,"('dont', 'allow')",13
863,"('249', 'kensington')",13
864,"('section', 'line')",13
865,"('lost', 'consciousness')",13
866,"('really', 'sick')",13
867,"('far', 'fall')",13
868,"('fall', 'okay')",13
869,"('know', 'think')",13
870,"('happened', 'husband')",13
871,"('home', 'covid')",13
872,"('back', 'ok')",13
873,"('unless', 'hes')",13
874,"('breathe', 'hes')",13
875,"('meadows', 'drive')",13
876,"('anyone', 'house')",13
877,"('traveled', 'outside')",13
878,"('worsens', 'call')",13
879,"('hes', 'gon')",13
880,"('move', 'dont')",13
881,"('okay', 'feeling')",13
882,"('tell', 'whats')",13
883,"('yeah', 'old')",13
884,"('emergency', 'address')",13
885,"('not', 'get')",13
886,"('going', 'im')",13
887,"('oh', 'ok')",13
888,"('laying', 'floor')",13
889,"('fell', 'shes')",13
890,"('shes', 'kind')",13
891,"('right', 'old')",13
892,"('hes', 'weak')",13
893,"('yes', 'name')",13
894,"('feel', 'good')",13
895,"('ok', 'said')",13
896,"('79', 'rock')",13
897,"('drink', 'right')",13
898,"('talk', 'yeah')",13
899,"('okay', 'uh')",13
900,"('okay', 'room')",13
901,"('trying', 'keep')",13
902,"('union', 'street')",13
903,"('dont', 'even')",13
904,"('wear', 'medical')",13
905,"('back', 'hes')",13
906,"('know', 'yeah')",13
907,"('yeah', 'ill')",13
908,"('hes', 'bleeding')",13
909,"('got', 'way')",13
910,"('pretty', 'good')",13
911,"('okay', 'awake')",13
912,"('ill', 'see')",13
913,"('na', 'start')",13
914,"('says', 'shes')",13
915,"('lexington', 'boulevard')",13
916,"('bleeding', 'okay')",13
917,"('get', 'sheriffs')",13
918,"('thank', 'im')",13
919,"('yeah', 'whats')",12
920,"('sorry', 'youre')",12
921,"('ahead', 'dispatch')",12
922,"('medics', 'route')",12
923,"('said', 'yeah')",12
924,"('theyre', 'okay')",12
925,"('country', 'history')",12
926,"('hes', 'kind')",12
927,"('theyre', 'still')",12
928,"('alright', 'theyre')",12
929,"('want', 'move')",12
930,"('hes', 'talking')",12
931,"('living', 'room')",12
932,"('like', 'go')",12
933,"('back', 'thank')",12
934,"('worse', 'give')",12
935,"('changes', 'worse')",12
936,"('oh', 'well')",12
937,"('anything', 'right')",12
938,"('right', 'knee')",12
939,"('chest', 'pain')",12
940,"('avenue', 'okay')",12
941,"('doctor', 'covid')",12
942,"('think', 'dont')",12
943,"('maam', 'name')",12
944,"('north', 'walnut')",12
945,"('berlin', 'station')",12
946,"('doesnt', 'know')",12
947,"('cant', 'take')",12
948,"('medic', 'think')",12
949,"('mean', 'im')",12
950,"('see', 'anything')",12
951,"('couple', 'officers')",12
952,"('way', 'want')",12
953,"('husband', 'fell')",12
954,"('get', 'ok')",12
955,"('second', 'im')",12
956,"('worsens', 'go')",12
